Continent,Region,Country,Value,Type,Year_
Asia,Asia,Indonesia,59.0,Imports,2019
Asia,Asia,Israel,462.0,Imports,2019
Asia,Asia,Japan,3779.0,Imports,2019
Asia,Asia,Malaysia,164.0,Imports,2019
Asia,Asia,Pakistan,34.0,Imports,2019
Asia,Asia,Philippines,269.0,Imports,2019
Asia,Asia,Saudi Arabia,143.0,Imports,2019
Asia,Asia,Singapore,1462.0,Imports,2019
Asia,Asia,South Korea,324.0,Imports,2019
Asia,Asia,Taiwan,171.0,Imports,2019
Asia,Asia,Thailand,84.0,Imports,2019
Asia,Asia,Rest Of Asia,0.0,Imports,2019
Asia,Asia,Asia Unallocated,0.0,Imports,2019
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Australia,1413.0,Imports,2019
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",New Zealand,94.0,Imports,2019
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Rest Of Australia And Oceania,0.0,Imports,2019
"Australasia, Oceania and Polar Regions","Australasia, Oceania And Polar Regions",Oceania Unallocated,0.0,Imports,2019
Africa,Africa,Nigeria,152.0,Imports,2019
Africa,Africa,South Africa,519.0,Imports,2019
Africa,Africa,Rest Of Africa,686.0,Imports,2019
Africa,Africa,Africa Unallocated,222.0,Imports,2019
Europe,European Union (EU),Austria,526.0,Imports,2020
Europe,European Union (EU),Belgium,1813.0,Imports,2020
Europe,European Union (EU),Bulgaria,419.0,Imports,2020
Europe,European Union (EU),Croatia,56.0,Imports,2020
Europe,European Union (EU),Cyprus,200.0,Imports,2020
Europe,European Union (EU),Czechia,453.0,Imports,2020
Europe,European Union (EU),Denmark,1362.0,Imports,2020
Europe,European Union (EU),Estonia,44.0,Imports,2020
Europe,European Union (EU),Finland,306.0,Imports,2020
Europe,European Union (EU),France,6191.0,Imports,2020
Europe,European Union (EU),Germany,6506.0,Imports,2020
Europe,European Union (EU),Greece,363.0,Imports,2020
Europe,European Union (EU),Hungary,288.0,Imports,2020
Europe,European Union (EU),Ireland,7734.0,Imports,2020
Europe,European Union (EU),Italy,2450.0,Imports,2020
Europe,European Union (EU),Latvia,70.0,Imports,2020
Europe,European Union (EU),Lithuania,104.0,Imports,2020
Europe,European Union (EU),Luxembourg,2978.0,Imports,2020
Europe,European Union (EU),Malta,259.0,Imports,2020
Europe,European Union (EU),Netherlands,5180.0,Imports,2020
Europe,European Union (EU),Poland,1542.0,Imports,2020
Europe,European Union (EU),Portugal,724.0,Imports,2020
Europe,European Union (EU),Romania,575.0,Imports,2020
Europe,European Union (EU),Slovakia,357.0,Imports,2020
Europe,European Union (EU),Slovenia,46.0,Imports,2020
Europe,European Union (EU),Spain,2468.0,Imports,2020
Europe,European Union (EU),Sweden,3561.0,Imports,2020
Europe,European Free Trade Association (EFTA),Iceland,13.0,Imports,2020
